@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
85,'2024/02/24 23:24:57:740',2,54.178078,-19.302666,0,0,0,?
86,'2024/02/24 23:24:57:775',2,53.742714,-19.361229,0,0,0,?
87,'2024/02/24 23:24:57:805',2,54.453793,-19.233654,0,0,0,?
88,'2024/02/24 23:24:57:839',2,53.631306,-18.285137,0,0,0,?
89,'2024/02/24 23:24:57:897',2,53.79324,-18.794003,0,0,0,?
90,'2024/02/24 23:24:57:932',2,53.73888,-18.578686,0,0,0,?
91,'2024/02/24 23:24:57:973',2,54.138107,-18.4207,0,0,0,?
92,'2024/02/24 23:24:57:996',2,53.962982,-19.175667,0,0,0,?
93,'2024/02/24 23:24:58:019',2,54.219875,-18.884556,0,0,0,?
94,'2024/02/24 23:24:58:037',2,53.891029,-19.128288,0,0,0,?
95,'2024/02/24 23:24:58:077',2,53.82906,-19.130001,0,0,0,?
96,'2024/02/24 23:24:58:106',2,54.184055,-18.639591,0,0,0,?
97,'2024/02/24 23:24:58:159',2,54.070503,-18.276039,0,0,0,?
98,'2024/02/24 23:24:58:187',2,54.960365,-18.157227,0,0,0,?
99,'2024/02/24 23:24:58:205',2,53.81633,-18.860748,0,0,0,?
100,'2024/02/24 23:25:08:307',3,226.196198,55.398254,0,0,0,?
101,'2024/02/24 23:25:08:341',3,225.647858,55.352386,0,0,0,?
102,'2024/02/24 23:25:08:381',3,225.479645,55.35553,0,0,0,?
103,'2024/02/24 23:25:08:413',3,225.228973,55.108887,0,0,0,?
104,'2024/02/24 23:25:08:439',3,224.948608,54.963699,0,0,0,?
105,'2024/02/24 23:25:08:480',3,224.961258,55.062897,0,0,0,?
106,'2024/02/24 23:25:08:540',3,224.971741,54.815857,0,0,0,?
107,'2024/02/24 23:25:08:567',3,225.156494,54.83963,0,0,0,?
108,'2024/02/24 23:25:08:602',3,225.483398,54.84433,0,0,0,?
109,'2024/02/24 23:25:08:624',3,225.326218,54.830597,0,0,0,?
110,'2024/02/24 23:25:08:636',3,225.353058,54.779953,0,0,0,?
111,'2024/02/24 23:25:08:683',3,225.28064,54.808411,0,0,0,?
112,'2024/02/24 23:25:08:735',3,225.052521,54.791245,0,0,0,?
113,'2024/02/24 23:25:08:764',3,224.891388,54.73497,0,0,0,?
114,'2024/02/24 23:25:08:776',3,224.593903,54.580673,0,0,0,?
115,'2024/02/24 23:25:08:811',3,224.570938,54.865982,0,0,0,?
116,'2024/02/24 23:25:08:857',3,224.263687,54.762329,0,0,0,?
117,'2024/02/24 23:25:08:880',3,224.165955,54.644882,0,0,0,?
118,'2024/02/24 23:25:08:915',3,224.125793,54.607086,0,0,0,?
119,'2024/02/24 23:25:08:950',3,224.158112,54.668991,0,0,0,?
120,'2024/02/24 23:25:08:990',3,223.9254,54.736603,0,0,0,?
121,'2024/02/24 23:25:09:014',3,224.001907,54.732468,0,0,0,?
122,'2024/02/24 23:25:09:043',3,224.896515,55.294785,0,0,0,?
123,'2024/02/24 23:25:09:084',3,224.996109,55.086853,0,0,0,?
124,'2024/02/24 23:25:09:137',3,224.684265,55.062622,0,0,0,?
125,'2024/02/24 23:25:09:165',3,223.54277,54.449615,0,0,0,?
126,'2024/02/24 23:25:09:176',3,224.860123,55.254501,0,0,0,?
127,'2024/02/24 23:25:09:212',3,223.817764,55.087128,0,0,0,?
128,'2024/02/24 23:25:09:242',3,223.646164,55.154114,0,0,0,?
129,'2024/02/24 23:25:09:304',3,223.529083,55.162399,0,0,0,?
130,'2024/02/24 23:25:09:340',3,224.548248,55.356445,0,0,0,?
131,'2024/02/24 23:25:09:380',3,224.309631,55.53067,0,0,0,?
132,'2024/02/24 23:25:09:409',3,224.270096,55.526566,0,0,0,?
133,'2024/02/24 23:25:09:431',3,224.421524,55.379562,0,0,0,?
134,'2024/02/24 23:25:09:443',3,224.339569,55.179871,0,0,0,?
135,'2024/02/24 23:25:09:479',3,224.339874,55.408432,0,0,0,?
136,'2024/02/24 23:25:09:514',3,224.392426,55.370575,0,0,0,?
137,'2024/02/24 23:25:09:548',3,224.176346,55.039871,0,0,0,?
138,'2024/02/24 23:25:09:607',3,223.974274,55.126114,0,0,0,?
139,'2024/02/24 23:25:09:635',3,223.794022,54.929977,0,0,0,?
140,'2024/02/24 23:25:09:664',3,224.069595,55.22879,0,0,0,?
141,'2024/02/24 23:25:09:699',3,223.934158,55.215118,0,0,0,?
142,'2024/02/24 23:25:09:716',3,223.91481,54.915329,0,0,0,?
143,'2024/02/24 23:25:09:739',3,223.300842,54.88295,0,0,0,?
144,'2024/02/24 23:25:09:780',3,223.101257,54.861832,0,0,0,?
145,'2024/02/24 23:25:09:827',3,223.289932,54.968979,0,0,0,?
146,'2024/02/24 23:25:09:862',3,223.253174,55.293732,0,0,0,?
147,'2024/02/24 23:25:09:897',3,223.598206,55.333496,0,0,0,?
148,'2024/02/24 23:25:09:931',3,223.532211,55.363571,0,0,0,?
149,'2024/02/24 23:28:20:458',4,234.710373,-24.388474,0,0,0,?
150,'2024/02/24 23:28:20:499',4,234.771133,-24.835037,0,0,0,?
151,'2024/02/24 23:28:20:533',4,234.598267,-24.43277,0,0,0,?
152,'2024/02/24 23:28:20:557',4,234.560455,-23.896698,0,0,0,?
153,'2024/02/24 23:28:20:591',4,234.873215,-23.744034,0,0,0,?
154,'2024/02/24 23:28:20:627',4,234.426895,-23.445236,0,0,0,?
155,'2024/02/24 23:28:20:637',4,234.293152,-23.776093,0,0,0,?
156,'2024/02/24 23:28:20:666',4,233.9897,-24.3936,0,0,0,?
157,'2024/02/24 23:28:20:708',4,233.997681,-24.314514,0,0,0,?
158,'2024/02/24 23:28:20:737',4,234.252029,-23.54274,0,0,0,?
159,'2024/02/24 23:28:20:765',4,234.292892,-23.330032,0,0,0,?
160,'2024/02/24 23:28:20:806',4,234.352234,-23.391235,0,0,0,?
161,'2024/02/24 23:28:20:841',4,234.370972,-23.27652,0,0,0,?
162,'2024/02/24 23:28:20:870',4,234.408646,-22.918015,0,0,0,?
163,'2024/02/24 23:28:20:911',4,234.407837,-23.594116,0,0,0,?
164,'2024/02/24 23:28:20:939',4,234.287338,-24.278122,0,0,0,?
165,'2024/02/24 23:28:20:963',4,234.484528,-23.999115,0,0,0,?
166,'2024/02/24 23:28:21:009',4,234.710144,-23.923676,0,0,0,?
167,'2024/02/24 23:28:21:061',4,234.945831,-24.525482,0,0,0,?
168,'2024/02/24 23:28:21:097',4,234.613434,-24.197449,0,0,0,?
169,'2024/02/24 23:28:21:132',4,234.86441,-23.591278,0,0,0,?
170,'2024/02/24 23:28:21:160',4,235.236908,-23.54425,0,0,0,?
171,'2024/02/24 23:28:21:172',4,234.98703,-23.173981,0,0,0,?
172,'2024/02/24 23:28:21:204',4,234.927856,-23.237793,0,0,0,?
173,'2024/02/24 23:28:21:241',4,235.069366,-23.618042,0,0,0,?
174,'2024/02/24 23:28:21:276',4,234.714081,-23.851105,0,0,0,?
175,'2024/02/24 23:28:21:311',4,234.688736,-24.01857,0,0,0,?
176,'2024/02/24 23:28:21:334',4,234.878937,-24.231537,0,0,0,?
177,'2024/02/24 23:28:21:369',4,234.975983,-23.788452,0,0,0,?
178,'2024/02/24 23:28:21:410',4,235.235001,-24.262955,0,0,0,?
179,'2024/02/24 23:28:21:445',4,235.253189,-23.790756,0,0,0,?
180,'2024/02/24 23:28:21:474',4,235.197266,-24.512695,0,0,0,?
270,'2024/02/24 23:29:36:120',7,396.079987,-30.636383,0,0,0,?
271,'2024/02/24 23:29:36:155',7,396.523987,-29.681061,0,0,0,?
272,'2024/02/24 23:29:36:184',7,396.08786,-30.392181,0,0,0,?
273,'2024/02/24 23:29:36:208',7,396.020752,-31.103333,0,0,0,?
274,'2024/02/24 23:29:36:254',7,396.224792,-30.771088,0,0,0,?
275,'2024/02/24 23:29:36:289',7,395.727875,-30.672333,0,0,0,?
276,'2024/02/24 23:29:36:324',7,395.302032,-29.442749,0,0,0,?
277,'2024/02/24 23:29:36:353',7,395.522797,-28.485077,0,0,0,?
278,'2024/02/24 23:29:36:382',7,395.869904,-28.818329,0,0,0,?
279,'2024/02/24 23:29:36:411',7,396.267456,-28.943207,0,0,0,?
280,'2024/02/24 23:29:36:451',7,396.205597,-28.910034,0,0,0,?
281,'2024/02/24 23:29:36:486',7,396.434692,-28.921906,0,0,0,?
282,'2024/02/24 23:29:36:545',7,395.910461,-28.460388,0,0,0,?
283,'2024/02/24 23:29:36:579',7,396.12735,-28.711945,0,0,0,?
284,'2024/02/24 23:29:36:602',7,395.635132,-28.745911,0,0,0,?
285,'2024/02/24 23:29:36:619',7,396.472961,-29.199127,0,0,0,?
286,'2024/02/24 23:29:36:655',7,396.325897,-29.738342,0,0,0,?
287,'2024/02/24 23:29:36:689',7,396.128998,-29.859772,0,0,0,?
288,'2024/02/24 23:29:36:718',7,395.218262,-29.205627,0,0,0,?
289,'2024/02/24 23:29:36:760',7,396.344269,-29.024658,0,0,0,?
290,'2024/02/24 23:29:36:788',7,396.517426,-29.320404,0,0,0,?
291,'2024/02/24 23:29:36:817',7,395.518494,-29.677612,0,0,0,?
292,'2024/02/24 23:29:36:857',7,395.456329,-28.649872,0,0,0,?
293,'2024/02/24 23:29:36:894',7,395.748535,-28.776489,0,0,0,?
294,'2024/02/24 23:29:36:944',7,395.547974,-28.336609,0,0,0,?
295,'2024/02/24 23:29:36:979',7,395.579773,-28.330322,0,0,0,?
296,'2024/02/24 23:29:37:003',7,396.067932,-28.003479,0,0,0,?
297,'2024/02/24 23:29:37:014',7,394.750763,-26.843109,0,0,0,?
298,'2024/02/24 23:29:37:056',7,395.949188,-27.412354,0,0,0,?
299,'2024/02/24 23:29:37:096',7,394.769226,-27.040009,0,0,0,?
300,'2024/02/24 23:29:37:142',7,394.45752,-27.088043,0,0,0,?
301,'2024/02/24 23:29:37:165',7,394.546539,-27.37735,0,0,0,?
302,'2024/02/24 23:29:37:177',7,394.502289,-27.660431,0,0,0,?
303,'2024/02/24 23:29:37:247',7,393.475677,-27.014069,0,0,0,?
304,'2024/02/24 23:29:37:281',7,392.70108,-27.276367,0,0,0,?
305,'2024/02/24 23:29:37:331',7,391.438538,-28.573303,0,0,0,?
306,'2024/02/24 23:29:37:351',7,391.598114,-28.091766,0,0,0,?
307,'2024/02/24 23:29:37:380',7,391.080902,-28.095612,0,0,0,?
308,'2024/02/24 23:29:37:409',7,390.673492,-30.600403,0,0,0,?
309,'2024/02/24 23:29:37:462',7,391.137482,-30.148315,0,0,0,?
310,'2024/02/24 23:29:37:508',7,391.127533,-27.852234,0,0,0,?
311,'2024/02/24 23:30:44:232',8,394.891907,54.203766,0,0,0,?
312,'2024/02/24 23:30:44:254',8,393.3573,53.17392,0,0,0,?
313,'2024/02/24 23:30:44:283',8,394.175507,54.461334,0,0,0,?
314,'2024/02/24 23:30:44:318',8,391.051971,52.921906,0,0,0,?
315,'2024/02/24 23:30:44:359',8,391.570129,52.424042,0,0,0,?
316,'2024/02/24 23:30:44:393',8,391.628143,53.777527,0,0,0,?
317,'2024/02/24 23:30:44:422',8,391.035004,53.640259,0,0,0,?
318,'2024/02/24 23:30:44:433',8,393.33606,53.978271,0,0,0,?
319,'2024/02/24 23:30:44:457',8,397.317383,55.970825,0,0,0,?
320,'2024/02/24 23:30:44:505',8,398.560425,55.608215,0,0,0,?
321,'2024/02/24 23:30:44:550',8,398.342743,55.23111,0,0,0,?
322,'2024/02/24 23:30:44:585',8,399.269318,54.522827,0,0,0,?
323,'2024/02/24 23:30:44:602',8,399.460693,55.185181,0,0,0,?
324,'2024/02/24 23:30:44:625',8,399.623413,56.854919,0,0,0,?
325,'2024/02/24 23:30:44:671',8,396.417023,54.974091,0,0,0,?
326,'2024/02/24 23:30:44:718',8,394.39035,52.429016,0,0,0,?
327,'2024/02/24 23:30:44:747',8,393.393188,53.696014,0,0,0,?
328,'2024/02/24 23:30:44:764',8,392.917023,54.175507,0,0,0,?
329,'2024/02/24 23:30:44:799',8,392.032928,54.654205,0,0,0,?
330,'2024/02/24 23:30:44:828',8,393.099182,55.46875,0,0,0,?
331,'2024/02/24 23:30:44:852',8,398.389648,55.409607,0,0,0,?
332,'2024/02/24 23:30:44:898',8,396.391968,52.936462,0,0,0,?
333,'2024/02/24 23:30:44:933',8,398.146881,56.576691,0,0,0,?
334,'2024/02/24 23:30:44:962',8,398.195404,55.044128,0,0,0,?
335,'2024/02/24 23:30:44:997',8,398.727753,56.015228,0,0,0,?
336,'2024/02/24 23:30:45:032',8,397.211609,56.200806,0,0,0,?
337,'2024/02/24 23:30:45:055',8,394.848572,55.412811,0,0,0,?
338,'2024/02/24 23:30:45:096',8,393.769623,55.478241,0,0,0,?
339,'2024/02/24 23:30:45:137',8,392.136078,56.070526,0,0,0,?
340,'2024/02/24 23:30:45:172',8,391.005798,55.148926,0,0,0,?
341,'2024/02/24 23:30:45:218',8,392.451324,56.606567,0,0,0,?
342,'2024/02/24 23:30:45:229',8,397.694977,57.945587,0,0,0,?
343,'2024/02/24 23:30:45:287',8,395.951202,53.932983,0,0,0,?
344,'2024/02/24 23:30:45:329',8,395.431641,55.694305,0,0,0,?
345,'2024/02/24 23:30:45:369',8,395.151825,54.940521,0,0,0,?
346,'2024/02/24 23:30:45:403',8,393.728516,56.846313,0,0,0,?
347,'2024/02/24 23:30:45:432',8,392.949158,57.544464,0,0,0,?
348,'2024/02/24 23:30:45:455',8,391.600372,57.333954,0,0,0,?
349,'2024/02/24 23:30:45:506',8,390.567413,57.012695,0,0,0,?
350,'2024/02/24 23:30:45:549',8,387.694153,55.897949,0,0,0,?
351,'2024/02/24 23:30:45:590',8,386.762451,52.383636,0,0,0,?
352,'2024/02/24 23:30:45:624',8,386.323425,46.644836,0,0,0,?
353,'2024/02/24 23:30:45:647',8,387.801208,38.267853,0,0,0,?
354,'2024/02/24 23:30:45:659',8,390.230621,29.474304,0,0,0,?
355,'2024/02/24 23:30:45:701',8,387.076721,19.573914,0,0,0,?
356,'2024/02/24 23:30:45:757',8,384.933655,13.169403,0,0,0,?
357,'2024/02/24 23:30:45:786',8,384.846527,12.331726,0,0,0,?
358,'2024/02/24 23:30:45:822',8,383.689087,12.245239,0,0,0,?
359,'2024/02/24 23:30:45:844',8,386.862915,13.941833,0,0,0,?
360,'2024/02/24 23:30:45:856',8,392.980957,32.659851,0,0,0,?
361,'2024/02/24 23:30:45:904',8,391.799011,37.747345,0,0,0,?
362,'2024/02/24 23:30:45:955',8,389.776459,42.554321,0,0,0,?
363,'2024/02/24 23:30:45:990',8,388.934357,46.378693,0,0,0,?
364,'2024/02/24 23:30:46:026',8,390.090851,47.215302,0,0,0,?
365,'2024/02/24 23:30:46:059',8,389.888062,47.60556,0,0,0,?
366,'2024/02/24 23:30:46:097',8,389.886505,48.469147,0,0,0,?
367,'2024/02/24 23:30:46:126',8,391.135345,44.009277,0,0,0,?
368,'2024/02/24 23:30:46:158',8,392.876678,39.558014,0,0,0,?
369,'2024/02/24 23:30:46:195',8,398.290253,39.410614,0,0,0,?
370,'2024/02/24 23:30:46:228',8,396.160706,33.151154,0,0,0,?
371,'2024/02/24 23:30:46:251',8,395.390808,32.37262,0,0,0,?
372,'2024/02/24 23:30:46:257',8,394.960968,31.286591,0,0,0,?
373,'2024/02/24 23:39:00:587',9,50.754173,-23.226814,0,0,0,?
374,'2024/02/24 23:39:00:620',9,49.950684,-23.673965,0,0,0,?
375,'2024/02/24 23:39:00:661',9,50.23616,-23.583237,0,0,0,?
376,'2024/02/24 23:39:00:689',9,51.09584,-22.868637,0,0,0,?
377,'2024/02/24 23:39:00:718',9,51.757706,-22.640251,0,0,0,?
378,'2024/02/24 23:39:00:748',9,51.90136,-22.670204,0,0,0,?
379,'2024/02/24 23:39:00:776',9,51.66275,-22.367821,0,0,0,?
380,'2024/02/24 23:39:00:823',9,51.363518,-22.47937,0,0,0,?
381,'2024/02/24 23:39:00:875',9,51.624298,-22.154129,0,0,0,?
382,'2024/02/24 23:39:00:904',9,52.024239,-21.499847,0,0,0,?
383,'2024/02/24 23:39:00:933',9,51.783886,-21.805058,0,0,0,?
384,'2024/02/24 23:39:00:951',9,51.545647,-21.846542,0,0,0,?
385,'2024/02/24 23:39:00:987',9,51.928368,-21.914864,0,0,0,?
386,'2024/02/24 23:39:01:045',9,52.262936,-21.577518,0,0,0,?
387,'2024/02/24 23:39:01:078',9,52.723587,-21.236687,0,0,0,?
388,'2024/02/24 23:39:01:114',9,52.332115,-21.667984,0,0,0,?
389,'2024/02/24 23:39:01:143',9,51.656227,-22.556564,0,0,0,?
390,'2024/02/24 23:39:01:154',9,51.322205,-22.63736,0,0,0,?
391,'2024/02/24 23:39:01:212',9,51.40683,-22.489616,0,0,0,?
392,'2024/02/24 23:39:01:247',9,51.41433,-22.334572,0,0,0,?
393,'2024/02/24 23:39:01:287',9,51.909084,-22.220592,0,0,0,?
394,'2024/02/24 23:39:01:322',9,51.253197,-22.737831,0,0,0,?
395,'2024/02/24 23:39:01:351',9,50.926865,-22.774117,0,0,0,?
396,'2024/02/24 23:39:01:380',9,50.585289,-22.977501,0,0,0,?
397,'2024/02/24 23:39:01:415',9,50.621193,-22.887413,0,0,0,?
398,'2024/02/24 23:39:01:450',9,50.533989,-22.651955,0,0,0,?
399,'2024/02/24 23:39:01:479',9,51.025772,-22.225311,0,0,0,?
400,'2024/02/24 23:39:01:520',9,51.320915,-22.254982,0,0,0,?
401,'2024/02/24 23:39:01:548',9,51.351414,-22.195271,0,0,0,?
402,'2024/02/24 23:39:01:572',9,51.252022,-22.287971,0,0,0,?
403,'2024/02/24 23:39:01:630',9,51.185646,-22.121376,0,0,0,?
404,'2024/02/24 23:39:01:677',9,50.893822,-22.680473,0,0,0,?
405,'2024/02/24 23:39:01:699',9,50.688316,-22.909264,0,0,0,?
406,'2024/02/24 23:39:01:717',9,50.598938,-22.580017,0,0,0,?
407,'2024/02/24 23:39:01:752',9,50.62294,-22.313545,0,0,0,?
408,'2024/02/24 23:39:01:787',9,50.681477,-22.460232,0,0,0,?
409,'2024/02/24 23:39:01:821',9,50.332718,-22.321327,0,0,0,?
410,'2024/02/24 23:39:01:857',9,49.932747,-23.144791,0,0,0,?
411,'2024/02/24 23:39:01:892',9,50.313549,-22.991924,0,0,0,?
412,'2024/02/24 23:39:01:921',9,52.507954,-21.510342,0,0,0,?
413,'2024/02/24 23:39:01:949',9,52.325363,-21.431953,0,0,0,?
414,'2024/02/24 23:39:01:972',9,52.097054,-21.609879,0,0,0,?
415,'2024/02/24 23:39:02:025',9,51.512604,-21.817589,0,0,0,?
416,'2024/02/24 23:39:02:060',9,51.326378,-21.977036,0,0,0,?
417,'2024/02/24 23:39:02:088',9,51.119614,-22.442947,0,0,0,?
418,'2024/02/24 23:39:02:123',9,51.173431,-22.424469,0,0,0,?
419,'2024/02/24 23:39:02:153',9,51.207161,-22.111847,0,0,0,?
420,'2024/02/24 23:39:02:175',9,51.743717,-22.016773,0,0,0,?
421,'2024/02/24 23:39:02:222',9,51.440563,-22.298588,0,0,0,?
422,'2024/02/24 23:39:02:257',9,50.834457,-22.921799,0,0,0,?
423,'2024/02/24 23:39:02:286',9,50.746021,-23.530285,0,0,0,?
424,'2024/02/24 23:39:02:321',9,51.166389,-23.304375,0,0,0,?
425,'2024/02/24 23:39:02:355',9,51.280689,-22.458027,0,0,0,?
426,'2024/02/24 23:39:02:385',9,51.212395,-22.249489,0,0,0,?
427,'2024/02/24 23:39:02:425',9,51.316193,-22.545776,0,0,0,?
428,'2024/02/24 23:39:02:478',9,51.392841,-22.397175,0,0,0,?
429,'2024/02/24 23:39:02:518',9,51.508598,-22.506752,0,0,0,?
430,'2024/02/24 23:39:02:553',9,51.855183,-22.21896,0,0,0,?
431,'2024/02/24 23:39:02:576',9,51.647987,-22.477287,0,0,0,?
432,'2024/02/24 23:39:02:600',9,51.404915,-22.678871,0,0,0,?
433,'2024/02/24 23:39:02:617',9,51.448689,-22.548519,0,0,0,?
434,'2024/02/24 23:39:02:657',9,51.44912,-22.451302,0,0,0,?
435,'2024/02/24 23:39:02:710',9,51.412754,-22.874592,0,0,0,?
436,'2024/02/24 23:39:02:738',9,51.256058,-22.960365,0,0,0,?
437,'2024/02/24 23:39:02:751',9,51.094322,-22.702843,0,0,0,?
438,'2024/02/24 23:39:02:808',9,51.0886,-22.801178,0,0,0,?
439,'2024/02/24 23:39:02:849',9,51.217461,-22.941689,0,0,0,?
440,'2024/02/24 23:39:02:888',9,51.361713,-22.601795,0,0,0,?
441,'2024/02/24 23:39:02:925',9,51.695709,-22.517456,0,0,0,?
442,'2024/02/24 23:39:02:953',9,51.490715,-22.848732,0,0,0,?
443,'2024/02/24 23:39:02:976',9,51.143044,-23.133118,0,0,0,?
