@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute lefthand {0,1,2,3,4}
@attribute righthand numeric

@data
41,'2024/02/21 00:48:32:784',2,260.600006,344.002228,2,0
42,'2024/02/21 00:48:32:808',2,261.244843,350.441895,2,0
43,'2024/02/21 00:48:32:826',2,262.388153,354.715332,2,0
44,'2024/02/21 00:48:32:895',2,262.201416,359.215881,2,0
45,'2024/02/21 00:48:32:941',2,263.980011,362.210236,2,0
46,'2024/02/21 00:48:32:988',2,263.446045,363.960663,2,0
47,'2024/02/21 00:48:33:011',2,263.648438,363.87439,2,0
48,'2024/02/21 00:48:33:028',2,264.194305,363.450562,2,0
49,'2024/02/21 00:48:33:069',2,264.133484,363.681396,2,0
50,'2024/02/21 00:48:33:098',2,264.341461,363.190521,2,0
51,'2024/02/21 00:48:33:133',2,263.28183,362.038727,2,0
52,'2024/02/21 00:48:33:162',2,263.218964,361.777924,2,0
53,'2024/02/21 00:48:33:191',2,263.322754,361.646484,2,0
54,'2024/02/21 00:48:33:232',2,263.667908,361.892059,2,0
55,'2024/02/21 00:48:33:261',2,264.520081,362.453369,2,0
56,'2024/02/21 00:48:45:498',3,320.007355,324.132629,3,0
57,'2024/02/21 00:48:45:544',3,319.608887,326.209045,3,0
58,'2024/02/21 00:48:45:579',3,318.589905,316.425201,3,0
59,'2024/02/21 00:48:45:608',3,318.719391,329.575775,3,0
60,'2024/02/21 00:48:45:637',3,319.487,330.547913,3,0
61,'2024/02/21 00:48:45:666',3,319.742432,329.682739,3,0
62,'2024/02/21 00:48:45:736',3,319.644409,325.363556,3,0
63,'2024/02/21 00:48:45:776',3,319.66861,327.338593,3,0
64,'2024/02/21 00:48:45:800',3,319.670319,326.168976,3,0
65,'2024/02/21 00:48:45:841',3,319.899231,323.289612,3,0
66,'2024/02/21 00:48:45:875',3,319.282532,331.376343,3,0
67,'2024/02/21 00:48:45:910',3,318.686371,284.613525,3,0
68,'2024/02/21 00:48:45:945',3,317.996216,350.00177,3,0
69,'2024/02/21 00:48:45:974',3,318.94577,343.688751,3,0
70,'2024/02/21 00:48:45:997',3,318.641174,349.857544,3,0
71,'2024/02/21 00:48:46:038',3,317.873566,360.637909,3,0
72,'2024/02/21 00:48:46:073',3,318.593689,369.143219,3,0
73,'2024/02/21 00:48:46:113',3,319.048096,376.077911,3,0
74,'2024/02/21 00:48:46:160',3,319.143616,378.351257,3,0
75,'2024/02/21 00:48:46:195',3,319.542786,380.402863,3,0
76,'2024/02/21 00:48:46:235',3,318.448914,381.051605,3,0
77,'2024/02/21 00:48:46:264',3,318.626312,382.194977,3,0
78,'2024/02/21 00:48:46:299',3,319.814362,383.7146,3,0
79,'2024/02/21 00:48:46:340',3,320.57193,382.702667,3,0
80,'2024/02/21 00:48:46:380',3,320.733154,381.840668,3,0
81,'2024/02/21 00:48:46:403',3,320.632904,381.817596,3,0
82,'2024/02/21 00:48:46:467',3,320.975525,382.14325,3,0
83,'2024/02/21 00:48:46:508',3,321.824707,381.976013,3,0
84,'2024/02/21 00:48:46:543',3,322.220642,381.712036,3,0
85,'2024/02/21 00:48:55:146',4,433.743103,298.907898,4,0
86,'2024/02/21 00:48:55:174',4,433.967041,301.713623,4,0
87,'2024/02/21 00:48:55:204',4,434.414612,304.938995,4,0
88,'2024/02/21 00:48:55:244',4,434.302612,305.859467,4,0
89,'2024/02/21 00:48:55:279',4,433.883179,302.571838,4,0
90,'2024/02/21 00:48:55:314',4,434.16272,305.136505,4,0
91,'2024/02/21 00:48:55:349',4,433.661102,306.597931,4,0
92,'2024/02/21 00:48:55:378',4,433.203796,304.715302,4,0
93,'2024/02/21 00:48:55:407',4,432.742065,303.517212,4,0
94,'2024/02/21 00:48:55:442',4,432.798645,299.193542,4,0
95,'2024/02/21 00:48:55:471',4,432.78067,303.077942,4,0
96,'2024/02/21 00:48:55:511',4,432.485504,298.83429,4,0
97,'2024/02/21 00:48:55:552',4,433.663269,279.357239,4,0
98,'2024/02/21 00:48:55:581',4,433.506256,312.654663,4,0
99,'2024/02/21 00:48:55:604',4,433.983093,356.005341,4,0
100,'2024/02/21 00:48:55:639',4,433.53653,358.421478,4,0
101,'2024/02/21 00:48:55:680',4,433.072357,340.984802,4,0
102,'2024/02/21 00:48:55:714',4,433.161896,353.705994,4,0
103,'2024/02/21 00:48:55:766',4,432.359161,358.913025,4,0
104,'2024/02/21 00:48:55:796',4,433.170227,361.251373,4,0
105,'2024/02/21 00:48:55:830',4,432.295135,364.286987,4,0
106,'2024/02/21 00:48:55:848',4,432.667786,366.844269,4,0
107,'2024/02/21 00:48:55:883',4,433.362366,367.433014,4,0
108,'2024/02/21 00:48:55:918',4,433.586548,367.715698,4,0
109,'2024/02/21 00:48:55:946',4,432.722168,367.945038,4,0
110,'2024/02/21 00:48:56:005',4,432.990601,368.543243,4,0
111,'2024/02/21 00:48:56:034',4,432.548157,368.191772,4,0
112,'2024/02/21 00:48:56:080',4,431.529907,367.255585,4,0
113,'2024/02/21 00:48:56:109',4,431.381653,366.051392,4,0
114,'2024/02/21 00:48:56:150',4,431.438812,365.580872,4,0
115,'2024/02/21 00:48:56:179',4,430.920654,364.766876,4,0
116,'2024/02/21 00:48:56:208',4,431.053131,365.271118,4,0
117,'2024/02/21 00:48:56:242',4,431.030792,365.591644,4,0
118,'2024/02/21 00:48:56:278',4,431.058746,365.488464,4,0
119,'2024/02/21 00:48:56:313',4,431.465759,364.782867,4,0
120,'2024/02/21 00:48:56:348',4,430.968506,365.355682,4,0
