@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute gain numeric
@attribute soundOn {0,1,2}

@data
275,'2024/02/25 22:34:34:325',2,2.864835,1,0.9,?
276,'2024/02/25 22:34:34:354',2,2.863777,1,0.9,?
277,'2024/02/25 22:34:34:389',2,2.862505,1,0.9,?
278,'2024/02/25 22:34:34:418',2,2.862814,1,0.9,?
279,'2024/02/25 22:34:34:452',2,2.864085,1,0.9,?
280,'2024/02/25 22:34:34:499',2,2.865814,1,0.9,?
281,'2024/02/25 22:34:34:522',2,2.86482,1,0.9,?
282,'2024/02/25 22:34:34:523',2,2.86482,1,0.9,?
283,'2024/02/25 22:34:34:563',2,2.864591,1,0.9,?
284,'2024/02/25 22:34:34:592',2,2.866347,1,0.9,?
285,'2024/02/25 22:34:34:632',2,2.865791,1,0.9,?
286,'2024/02/25 22:34:34:656',2,2.865374,1,0.9,?
287,'2024/02/25 22:34:34:690',2,2.866767,1,0.9,?
288,'2024/02/25 22:34:34:720',2,2.870883,1,0.9,?
289,'2024/02/25 22:34:34:754',2,2.867685,1,0.9,?
290,'2024/02/25 22:34:34:795',2,2.869106,1,0.9,?
291,'2024/02/25 22:34:34:824',2,2.866656,1,0.9,?
292,'2024/02/25 22:34:34:853',2,2.872652,1,0.9,?
293,'2024/02/25 22:34:34:854',2,2.872652,1,0.9,?
294,'2024/02/25 22:34:34:899',2,2.868809,1,0.9,?
295,'2024/02/25 22:34:34:923',2,2.867843,1,0.9,?
296,'2024/02/25 22:34:34:957',2,2.866733,1,0.9,?
297,'2024/02/25 22:34:34:998',2,2.867692,1,0.9,?
298,'2024/02/25 22:34:35:021',2,2.870594,1,0.9,?
299,'2024/02/25 22:34:35:062',2,2.867372,1,0.9,?
300,'2024/02/25 22:34:35:085',2,2.869331,1,0.9,?
301,'2024/02/25 22:34:35:120',2,2.87131,1,0.9,?
302,'2024/02/25 22:34:35:161',2,2.873113,1,0.9,?
303,'2024/02/25 22:34:35:190',2,2.875104,1,0.9,?
304,'2024/02/25 22:34:35:225',2,2.876189,1,0.9,?
305,'2024/02/25 22:34:35:265',2,2.875527,1,0.9,?
306,'2024/02/25 22:34:35:289',2,2.875093,1,0.9,?
307,'2024/02/25 22:34:35:330',2,2.875489,1,0.9,?
308,'2024/02/25 22:34:35:353',2,2.874711,1,0.9,?
309,'2024/02/25 22:34:35:387',2,2.875828,1,0.9,?
310,'2024/02/25 22:34:35:434',2,2.873257,1,0.9,?
311,'2024/02/25 22:34:35:456',2,2.874775,1,0.9,?
312,'2024/02/25 22:34:35:491',2,2.874235,1,0.9,?
313,'2024/02/25 22:34:35:521',2,2.876832,1,0.9,?
314,'2024/02/25 22:34:35:549',2,2.876897,1,0.9,?
315,'2024/02/25 22:34:35:590',2,2.875963,1,0.9,?
316,'2024/02/25 22:34:35:631',2,2.877452,1,0.9,?
317,'2024/02/25 22:34:35:654',2,2.875377,1,0.9,?
318,'2024/02/25 22:34:35:689',2,2.878335,1,0.9,?
319,'2024/02/25 22:34:35:730',2,2.876667,1,0.9,?
320,'2024/02/25 22:34:35:759',2,2.873538,1,0.9,?
321,'2024/02/25 22:34:35:788',2,2.87528,1,0.9,?
322,'2024/02/25 22:34:35:829',2,2.873849,1,0.9,?
323,'2024/02/25 22:34:35:857',2,2.873259,1,0.9,?
324,'2024/02/25 22:34:35:898',2,2.874181,1,0.9,?
325,'2024/02/25 22:34:35:921',2,2.878707,1,0.9,?
326,'2024/02/25 22:34:35:956',2,2.879862,1,0.9,?
327,'2024/02/25 22:34:35:997',2,2.883103,1,0.9,?
328,'2024/02/25 22:34:36:020',2,2.882298,1,0.9,?
329,'2024/02/25 22:34:36:055',2,2.881625,1,0.9,?
330,'2024/02/25 22:34:36:095',2,2.87732,1,0.9,?
331,'2024/02/25 22:34:36:119',2,2.875515,1,0.9,?
332,'2024/02/25 22:34:36:153',2,2.873121,1,0.9,?
333,'2024/02/25 22:34:36:200',2,2.87235,1,0.9,?
334,'2024/02/25 22:34:36:223',2,2.870184,1,0.9,?
335,'2024/02/25 22:34:36:258',2,2.86811,1,0.9,?
336,'2024/02/25 22:34:36:298',2,2.866951,1,0.9,?
337,'2024/02/25 22:34:36:321',2,2.867203,1,0.9,?
338,'2024/02/25 22:34:36:362',2,2.866395,1,0.9,?
339,'2024/02/25 22:34:36:385',2,2.866066,1,0.9,?
340,'2024/02/25 22:34:36:420',2,2.871975,1,0.9,?
341,'2024/02/25 22:34:36:461',2,2.872957,1,0.9,?
342,'2024/02/25 22:34:36:490',2,2.872147,1,0.9,?
343,'2024/02/25 22:34:36:525',2,2.870849,1,0.9,?
344,'2024/02/25 22:34:36:565',2,2.868182,1,0.9,?
345,'2024/02/25 22:34:36:589',2,2.86604,1,0.9,?
346,'2024/02/25 22:34:36:624',2,2.867781,1,0.9,?
347,'2024/02/25 22:34:36:664',2,2.867465,1,0.9,?
348,'2024/02/25 22:34:36:687',2,2.865744,1,0.9,?
349,'2024/02/25 22:34:36:722',2,2.866819,1,0.9,?
350,'2024/02/25 22:34:36:763',2,2.866731,1,0.9,?
351,'2024/02/25 22:34:36:786',2,2.865108,1,0.9,?
352,'2024/02/25 22:34:36:821',2,2.863644,1,0.9,?
353,'2024/02/25 22:34:36:862',2,2.864433,1,0.9,?
354,'2024/02/25 22:34:36:891',2,2.864451,1,0.9,?
355,'2024/02/25 22:34:36:920',2,2.865888,1,0.9,?
356,'2024/02/25 22:34:36:960',2,2.86396,1,0.9,?
357,'2024/02/25 22:34:36:961',2,2.86396,1,0.9,?
358,'2024/02/25 22:34:36:989',2,2.864144,1,0.9,?
359,'2024/02/25 22:34:37:019',2,2.863826,1,0.9,?
360,'2024/02/25 22:34:37:065',2,2.861845,1,0.9,?
361,'2024/02/25 22:34:37:088',2,2.865522,1,0.9,?
362,'2024/02/25 22:34:37:123',2,2.86979,1,0.9,?
363,'2024/02/25 22:34:37:164',2,2.872137,1,0.9,?
364,'2024/02/25 22:34:37:187',2,2.875485,1,0.9,?
365,'2024/02/25 22:34:37:222',2,2.875374,1,0.9,?
366,'2024/02/25 22:34:37:262',2,2.874804,1,0.9,?
367,'2024/02/25 22:34:37:291',2,2.87432,1,0.9,?
368,'2024/02/25 22:34:37:332',2,2.875593,1,0.9,?
369,'2024/02/25 22:34:37:366',2,2.875675,1,0.9,?
370,'2024/02/25 22:34:37:390',2,2.874637,1,0.9,?
371,'2024/02/25 22:34:37:424',2,2.874918,1,0.9,?
372,'2024/02/25 22:34:37:465',2,2.876405,1,0.9,?
373,'2024/02/25 22:34:37:488',2,2.874194,1,0.9,?
374,'2024/02/25 22:34:37:524',2,2.87412,1,0.9,?
375,'2024/02/25 22:34:37:552',2,2.872475,1,0.9,?
376,'2024/02/25 22:34:37:587',2,2.874284,1,0.9,?
377,'2024/02/25 22:34:37:628',2,2.86755,1,0.9,?
378,'2024/02/25 22:34:37:663',2,2.867617,1,0.9,?
379,'2024/02/25 22:34:37:698',2,2.865032,1,0.9,?
380,'2024/02/25 22:34:37:727',2,2.863962,1,0.9,?
381,'2024/02/25 22:34:37:761',2,2.863376,1,0.9,?
382,'2024/02/25 22:34:37:791',2,2.864886,1,0.9,?
383,'2024/02/25 22:34:37:831',2,2.863453,1,0.9,?
384,'2024/02/25 22:34:37:861',2,2.866311,1,0.9,?
385,'2024/02/25 22:34:37:901',2,2.862811,1,0.9,?
386,'2024/02/25 22:34:37:930',2,2.862939,1,0.9,?
387,'2024/02/25 22:34:37:953',2,2.863688,1,0.9,?
388,'2024/02/25 22:34:37:994',2,2.860919,1,0.9,?
389,'2024/02/25 22:34:38:029',2,2.86329,1,0.9,?
390,'2024/02/25 22:34:38:063',2,2.864283,1,0.9,?
391,'2024/02/25 22:34:38:098',2,2.863972,1,0.9,?
392,'2024/02/25 22:34:38:127',2,2.86116,1,0.9,?
393,'2024/02/25 22:34:38:162',2,2.860137,1,0.9,?
394,'2024/02/25 22:34:38:191',2,2.861842,1,0.9,?
395,'2024/02/25 22:34:38:220',2,2.86139,1,0.9,?
396,'2024/02/25 22:34:38:267',2,2.861644,1,0.9,?
397,'2024/02/25 22:34:38:290',2,2.861438,1,0.9,?
398,'2024/02/25 22:34:38:325',2,2.860125,1,0.9,?
399,'2024/02/25 22:34:38:365',2,2.857058,1,0.9,?
400,'2024/02/25 22:34:38:389',2,2.858967,1,0.9,?
401,'2024/02/25 22:34:38:423',2,2.86167,1,0.9,?
402,'2024/02/25 22:34:38:464',2,2.86201,1,0.9,?
403,'2024/02/25 22:34:38:493',2,2.864269,1,0.9,?
404,'2024/02/25 22:34:38:534',2,2.861554,1,0.9,?
405,'2024/02/25 22:34:38:628',2,2.861002,1,0.9,?
406,'2024/02/25 22:34:38:643',2,2.864497,1,0.9,?
407,'2024/02/25 22:34:38:645',2,2.863385,1,0.9,?
408,'2024/02/25 22:34:38:657',2,2.863439,1,0.9,?
409,'2024/02/25 22:34:38:702',2,2.859098,1,0.9,?
410,'2024/02/25 22:34:38:725',2,2.863562,1,0.9,?
411,'2024/02/25 22:34:38:765',2,2.864457,1,0.9,?
412,'2024/02/25 22:34:38:789',2,2.863843,1,0.9,?
413,'2024/02/25 22:34:38:824',2,2.864102,1,0.9,?
414,'2024/02/25 22:34:38:864',2,2.867816,1,0.9,?
415,'2024/02/25 22:34:38:893',2,2.864673,1,0.9,?
416,'2024/02/25 22:34:38:934',2,2.869833,1,0.9,?
417,'2024/02/25 22:34:38:951',2,2.869511,1,0.9,?
418,'2024/02/25 22:34:38:992',2,2.873188,1,0.9,?
419,'2024/02/25 22:34:39:027',2,2.877422,1,0.9,?
420,'2024/02/25 22:34:39:062',2,2.883114,1,0.9,?
421,'2024/02/25 22:34:39:097',2,2.895522,1,0.9,?
422,'2024/02/25 22:34:39:126',2,2.903771,1,0.9,?
423,'2024/02/25 22:34:39:166',2,2.905557,1,0.9,?
424,'2024/02/25 22:34:39:196',2,2.90135,1,0.9,?
425,'2024/02/25 22:34:39:231',2,2.893839,1,0.9,?
426,'2024/02/25 22:34:39:265',2,2.889663,1,0.9,?
427,'2024/02/25 22:34:39:294',2,2.891926,1,0.9,?
428,'2024/02/25 22:34:39:335',2,2.894037,1,0.9,?
429,'2024/02/25 22:34:39:358',2,2.895323,1,0.9,?
430,'2024/02/25 22:34:39:398',2,2.897005,1,0.9,?
431,'2024/02/25 22:34:39:433',2,2.893137,1,0.9,?
432,'2024/02/25 22:34:39:463',2,2.885336,1,0.9,?
433,'2024/02/25 22:35:19:331',3,1.075834,0,?,1
434,'2024/02/25 22:35:19:366',3,1.075834,0,?,1
435,'2024/02/25 22:35:19:394',3,1.075834,0,?,1
436,'2024/02/25 22:35:19:435',3,1.075834,0,?,1
437,'2024/02/25 22:35:19:458',3,1.075834,0,?,1
438,'2024/02/25 22:35:19:511',3,1.075834,0,?,1
439,'2024/02/25 22:35:19:545',3,1.075834,0,?,1
440,'2024/02/25 22:35:19:569',3,1.075834,0,?,1
441,'2024/02/25 22:35:19:591',3,1.075834,0,?,1
442,'2024/02/25 22:35:19:632',3,1.075834,0,?,1
443,'2024/02/25 22:35:19:655',3,1.075834,0,?,1
444,'2024/02/25 22:35:19:696',3,1.075834,0,?,1
445,'2024/02/25 22:35:19:719',3,1.075834,0,?,1
446,'2024/02/25 22:35:19:766',3,1.075834,0,?,1
447,'2024/02/25 22:35:19:789',3,1.075834,0,?,1
448,'2024/02/25 22:35:19:829',3,1.075834,0,?,1
449,'2024/02/25 22:35:19:853',3,1.075834,0,?,1
450,'2024/02/25 22:35:19:893',3,1.075834,0,?,1
451,'2024/02/25 22:35:19:940',3,1.075834,0,?,1
452,'2024/02/25 22:35:19:975',3,1.075834,0,?,1
453,'2024/02/25 22:35:20:010',3,0.971595,0,?,1
454,'2024/02/25 22:35:20:016',3,0.975317,0,?,1
455,'2024/02/25 22:35:20:039',3,0.978122,0,?,1
456,'2024/02/25 22:35:20:085',3,0.983276,0,?,1
457,'2024/02/25 22:35:20:102',3,0.975163,0,?,1
458,'2024/02/25 22:35:20:143',3,0.970839,0,?,1
459,'2024/02/25 22:35:20:178',3,0.969839,0,?,1
460,'2024/02/25 22:35:20:213',3,0.986763,0,?,1
461,'2024/02/25 22:35:20:248',3,0.965328,0,?,1
462,'2024/02/25 22:35:20:295',3,0.965751,0,?,1
463,'2024/02/25 22:35:20:318',3,0.971161,0,?,1
464,'2024/02/25 22:35:20:352',3,0.972813,0,?,1
465,'2024/02/25 22:35:20:395',3,0.989216,0,?,1
466,'2024/02/25 22:35:20:416',3,0.992882,0,?,1
467,'2024/02/25 22:35:20:451',3,0.992919,0,?,1
468,'2024/02/25 22:35:20:492',3,0.986495,0,?,1
469,'2024/02/25 22:35:20:521',3,0.993046,0,?,1
470,'2024/02/25 22:35:20:550',3,0.979246,0,?,1
471,'2024/02/25 22:35:20:591',3,0.970839,0,?,1
472,'2024/02/25 22:35:20:620',3,0.958714,0,?,1
473,'2024/02/25 22:35:20:649',3,0.968425,0,?,1
474,'2024/02/25 22:35:20:695',3,0.971585,0,?,1
475,'2024/02/25 22:35:20:718',3,0.969152,0,?,1
476,'2024/02/25 22:35:20:753',3,0.968238,0,?,1
477,'2024/02/25 22:35:20:794',3,0.975955,0,?,1
478,'2024/02/25 22:35:20:817',3,0.982457,0,?,1
479,'2024/02/25 22:35:20:846',3,0.975668,0,?,1
480,'2024/02/25 22:35:20:887',3,0.966846,0,?,1
481,'2024/02/25 22:35:20:927',3,0.961893,0,?,1
482,'2024/02/25 22:35:20:956',3,0.987004,0,?,1
483,'2024/02/25 22:35:20:979',3,0.983555,0,?,1
484,'2024/02/25 22:35:21:020',3,0.968575,0,?,1
485,'2024/02/25 22:35:21:061',3,0.967501,0,?,1
486,'2024/02/25 22:35:21:084',3,0.977886,0,?,1
487,'2024/02/25 22:35:21:119',3,0.979189,0,?,1
488,'2024/02/25 22:35:21:160',3,0.981735,0,?,1
489,'2024/02/25 22:35:21:183',3,0.96925,0,?,1
490,'2024/02/25 22:35:21:218',3,0.975563,0,?,1
491,'2024/02/25 22:35:21:258',3,0.982102,0,?,1
492,'2024/02/25 22:35:21:287',3,0.991306,0,?,1
493,'2024/02/25 22:35:21:316',3,0.975313,0,?,1
494,'2024/02/25 22:35:21:363',3,0.97707,0,?,1
495,'2024/02/25 22:35:21:386',3,0.984169,0,?,1
496,'2024/02/25 22:35:21:427',3,1.001036,0,?,1
497,'2024/02/25 22:35:21:461',3,0.988508,0,?,1
498,'2024/02/25 22:35:21:485',3,0.970484,0,?,1
499,'2024/02/25 22:35:21:520',3,0.962491,0,?,1
500,'2024/02/25 22:35:21:560',3,0.981219,0,?,1
501,'2024/02/25 22:35:21:583',3,0.978003,0,?,1
502,'2024/02/25 22:35:21:618',3,0.984334,0,?,1
503,'2024/02/25 22:35:21:659',3,0.966788,0,?,1
504,'2024/02/25 22:35:21:682',3,0.970101,0,?,1
505,'2024/02/25 22:35:21:683',3,0.970101,0,?,1
506,'2024/02/25 22:35:21:717',3,0.968919,0,?,1
507,'2024/02/25 22:35:21:758',3,0.969411,0,?,1
508,'2024/02/25 22:35:21:786',3,0.963687,0,?,1
509,'2024/02/25 22:35:21:816',3,0.966896,0,?,1
510,'2024/02/25 22:35:21:817',3,0.966896,0,?,1
511,'2024/02/25 22:35:21:852',3,0.969438,0,?,1
512,'2024/02/25 22:35:21:892',3,0.969269,0,?,1
513,'2024/02/25 22:35:21:920',3,0.977651,0,?,1
514,'2024/02/25 22:35:21:961',3,0.981923,0,?,1
515,'2024/02/25 22:35:21:983',3,0.977641,0,?,1
516,'2024/02/25 22:35:22:019',3,0.971588,0,?,1
517,'2024/02/25 22:35:22:060',3,0.970505,0,?,1
518,'2024/02/25 22:35:22:083',3,0.9636,0,?,1
519,'2024/02/25 22:35:22:117',3,0.96799,0,?,1
520,'2024/02/25 22:35:22:158',3,0.975215,0,?,1
521,'2024/02/25 22:35:22:187',3,0.973236,0,?,1
522,'2024/02/25 22:35:22:216',3,0.980474,0,?,1
523,'2024/02/25 22:35:22:263',3,0.98841,0,?,1
524,'2024/02/25 22:35:22:286',3,0.987417,0,?,1
525,'2024/02/25 22:35:22:326',3,0.989304,0,?,1
526,'2024/02/25 22:35:22:349',3,0.987821,0,?,1
527,'2024/02/25 22:35:22:385',3,0.987047,0,?,1
528,'2024/02/25 22:35:22:425',3,0.987122,0,?,1
529,'2024/02/25 22:35:22:448',3,0.986566,0,?,1
530,'2024/02/25 22:35:22:495',3,0.991605,0,?,1
531,'2024/02/25 22:35:22:529',3,0.998023,0,?,1
532,'2024/02/25 22:35:22:559',3,0.998859,0,?,1
533,'2024/02/25 22:35:22:594',3,0.993071,0,?,1
534,'2024/02/25 22:35:22:617',3,0.988406,0,?,1
535,'2024/02/25 22:35:22:652',3,0.978862,0,?,1
536,'2024/02/25 22:35:22:692',3,0.973968,0,?,1
537,'2024/02/25 22:35:22:716',3,0.968132,0,?,1
538,'2024/02/25 22:35:22:750',3,0.966471,0,?,1
539,'2024/02/25 22:35:22:797',3,0.961502,0,?,1
540,'2024/02/25 22:35:22:820',3,0.969599,0,?,1
541,'2024/02/25 22:35:22:855',3,0.971031,0,?,1
542,'2024/02/25 22:35:22:883',3,0.97455,0,?,1
543,'2024/02/25 22:35:22:924',3,0.980651,0,?,1
544,'2024/02/25 22:35:22:953',3,0.967762,0,?,1
545,'2024/02/25 22:35:22:982',3,0.962769,0,?,1
546,'2024/02/25 22:35:23:017',3,0.970928,0,?,1
547,'2024/02/25 22:35:23:058',3,0.991359,0,?,1
548,'2024/02/25 22:35:23:087',3,0.992857,0,?,1
549,'2024/02/25 22:35:23:116',3,0.99955,0,?,1
550,'2024/02/25 22:35:23:156',3,0.994254,0,?,1
551,'2024/02/25 22:35:23:185',3,0.977702,0,?,1
552,'2024/02/25 22:35:23:226',3,0.973031,0,?,1
553,'2024/02/25 22:35:23:261',3,0.973031,0,?,1
554,'2024/02/25 22:35:23:332',3,0.973031,0,?,1
555,'2024/02/25 22:35:23:366',3,0.973031,0,?,1
556,'2024/02/25 22:35:23:394',3,0.973031,0,?,1
557,'2024/02/25 22:35:23:423',3,0.973031,0,?,1
558,'2024/02/25 22:35:23:453',3,0.973031,0,?,1
559,'2024/02/25 22:35:23:475',3,0.973031,0,?,1
560,'2024/02/25 22:35:23:522',3,0.973031,0,?,1
561,'2024/02/25 22:35:23:545',3,0.973031,0,?,1
562,'2024/02/25 22:35:23:580',3,0.973031,0,?,1
563,'2024/02/25 22:35:23:614',3,0.973031,0,?,1
564,'2024/02/25 22:35:23:644',3,0.973031,0,?,1
565,'2024/02/25 22:35:23:679',3,0.973031,0,?,1
566,'2024/02/25 22:35:23:713',3,0.973031,0,?,1
567,'2024/02/25 22:35:23:737',3,0.973031,0,?,1
568,'2024/02/25 22:35:23:779',3,0.973031,0,?,1
569,'2024/02/25 22:35:23:806',3,0.973031,0,?,1
570,'2024/02/25 22:35:23:841',3,0.973031,0,?,1
571,'2024/02/25 22:35:23:870',3,0.973031,0,?,1
572,'2024/02/25 22:35:23:911',3,0.973031,0,?,1
573,'2024/02/25 22:35:23:934',3,0.973031,0,?,1
574,'2024/02/25 22:35:23:974',3,0.973031,0,?,1
575,'2024/02/25 22:35:24:004',3,0.973031,0,?,1
576,'2024/02/25 22:35:24:026',3,0.973031,0,?,1
577,'2024/02/25 22:35:24:069',3,0.973031,0,?,1
578,'2024/02/25 22:35:24:090',3,0.973031,0,?,1
579,'2024/02/25 22:35:24:137',3,0.973031,0,?,1
580,'2024/02/25 22:35:24:160',3,0.973031,0,?,1
581,'2024/02/25 22:35:24:201',3,0.973031,0,?,1
582,'2024/02/25 22:35:24:224',3,0.973031,0,?,1
583,'2024/02/25 22:35:24:264',3,0.973031,0,?,1
584,'2024/02/25 22:35:24:294',3,0.973031,0,?,1
585,'2024/02/25 22:35:24:346',3,0.973031,0,?,1
586,'2024/02/25 22:35:24:375',3,0.973031,0,?,1
587,'2024/02/25 22:35:24:398',3,0.973031,0,?,1
588,'2024/02/25 22:35:24:427',3,0.973031,0,?,1
589,'2024/02/25 22:35:24:468',3,0.973031,0,?,1
590,'2024/02/25 22:35:24:497',3,0.973031,0,?,1
591,'2024/02/25 22:35:24:520',3,0.973031,0,?,1
592,'2024/02/25 22:35:24:561',3,0.973031,0,?,1
593,'2024/02/25 22:35:24:601',3,0.973031,0,?,1
594,'2024/02/25 22:35:24:625',3,0.973031,0,?,1
595,'2024/02/25 22:35:24:665',3,0.973031,0,?,1
596,'2024/02/25 22:35:24:688',3,0.973031,0,?,1
597,'2024/02/25 22:35:24:735',3,0.973031,0,?,1
598,'2024/02/25 22:35:24:758',3,0.973031,0,?,1
599,'2024/02/25 22:35:24:799',3,0.973031,0,?,1
600,'2024/02/25 22:35:24:822',3,0.973031,0,?,1
601,'2024/02/25 22:35:24:868',3,0.973031,0,?,1
602,'2024/02/25 22:35:24:892',3,0.973031,0,?,1
603,'2024/02/25 22:35:24:932',3,0.973031,0,?,1
604,'2024/02/25 22:35:24:961',3,0.973031,0,?,1
605,'2024/02/25 22:35:25:002',3,0.973031,0,?,1
606,'2024/02/25 22:35:25:025',3,0.973031,0,?,1
607,'2024/02/25 22:35:25:066',3,0.973031,0,?,1
608,'2024/02/25 22:35:25:095',3,0.973031,0,?,1
609,'2024/02/25 22:35:25:135',3,0.973031,0,?,1
610,'2024/02/25 22:35:25:159',3,0.973031,0,?,1
611,'2024/02/25 22:35:25:199',3,0.973031,0,?,1
612,'2024/02/25 22:35:25:228',3,0.973031,0,?,1
613,'2024/02/25 22:35:25:269',3,0.973031,0,?,1
614,'2024/02/25 22:35:25:321',3,0.973031,0,?,1
615,'2024/02/25 22:35:25:344',3,0.973031,0,?,1
616,'2024/02/25 22:35:25:385',3,0.973031,0,?,1
617,'2024/02/25 22:35:25:420',3,0.973031,0,?,1
618,'2024/02/25 22:35:25:454',3,0.973031,0,?,1
619,'2024/02/25 22:35:25:478',3,0.973031,0,?,1
620,'2024/02/25 22:35:25:507',3,0.973031,0,?,1
621,'2024/02/25 22:35:25:542',3,0.973031,0,?,1
